destinationAirport,avgDirectFlightDistance
0,761.6043138780028
1,1555.58993577337
2,933.3580770853498
3,654.2168723236001
4,1041.4736017127345
5,1380.3562164543125
6,1179.0120793068977
7,1380.6141696589405
8,1265.6120723280283
9,1382.9856334418453
10,1169.0941174054565
12,841.0330810051506
13,1313.71316007372
14,1468.0
