destinationAirport,avgDirectFlightDurationMinutes
0,129.20587548987345
1,224.5576621999778
2,152.90777554413918
3,126.21600692320318
4,159.82687871952695
5,208.0582981222572
6,178.18454959457958
7,220.85263697853912
8,191.7511328341319
9,207.6258009057697
10,173.95388596248037
12,146.38532854690183
13,194.9850957557627
14,223.64193066666667
